Category,Label,Originated_By,Source,Text
politics war economy health etc ,0,trey gowdy,poltifact,say state department half year respond benghazi document request yet gotten single solitary scrap paper
indian fake news,0,times of india,times of india,fake alert 2016 photo share claim jnu student brutally thrash
politics war economy health etc ,0,joe biden,poltifact,say tell former president barack obama go osama bin laden
politics war economy health etc ,0,instagram posts,poltifact,say photo malia obama credit card next white powder found hunter biden laptop
politics war economy health etc ,0,viral image,poltifact,say photo depicts teacher student gun guard delaware high school 1973 shoot threat
politics war economy health etc ,0,senate leadership fund,poltifact,say catherine cortez masto fail nevada rape victim attorney general thousand rape kit never sent dna analysis
politics war economy health etc ,0,milwaukeeans for self governance,poltifact,say milwaukee county district attorney candidate verona swanigan work prosecutor
politics war economy health etc ,1,ellen freidin,poltifact,dozen district go 150 200 mile splitting county splinter city connect area little common
politics war economy health etc ,0,joseph kyrillos,poltifact,produce job create 80 000 job last month talk job lose net lose job
politics war economy health etc ,1,clarence mcneill,poltifact,use possession marijuana college campus remains prohibit federal law
politics war economy health etc ,0,scott walker,poltifact,say tony evers want cut wisconsin prison population half dangerous plan today would mean release thousand violent criminal back community
politics war economy health etc ,1,robin vos,poltifact,nine day deer hunt contributes billion revenue state wisconsin
politics war economy health etc ,0,martin o malley,poltifact,chris christie effective create job record govern effectiveness new jersey one high unemployment rate country percent
business news,1,bbc,bbc,credit suisse bos resigns covid breach
politics war economy health etc ,0,bloggers,poltifact,stacey abrams burning flag state seek serve governor
covid19 news,1,bbc,bbc,keep covid test free firm urge welsh minister business body say free rapid test stay phase throughout year
politics war economy health etc ,1,jon kyl,poltifact,president obama attempt filibuster justice alito sits supreme court
politics war economy health etc ,0,claudia tenney,poltifact,many people commit mass murder end democrat
politics war economy health etc ,0,lesley cohen,poltifact,bad enough stephen silberkraus appear sexual fetish film woman kidnap home force live naked kennel train pet silberkraus act film degrade woman stalk personal time
indian news,1,the hindu,the hindu,talk future group break amazon tell apex court broke amazon drove u knee say future group court schedule next hearing march 16
politics war economy health etc ,0,donna seidel,poltifact,290 million structural surplus 2011 13 wisconsin budget real base assumption congress reinstate estate tax
politics war economy health etc ,0,congressional leadership fund,poltifact,say minnesota house candidate joe radinovich spent life run law charge 18 crime
covid19 news,1,bbc,bbc,coronavirus even update five thing need know coronavirus pandemic tuesday even
indian news,1,ndtv,ndtv,say 24 hour stop navjot sidhu googly arvind kejriwal navjot singh sidhu today target aap chief arvind kejriwal 2015 sacrilege issue ask stop party government state take action involve desecration religious text
politics war economy health etc ,1,christi craddick,poltifact,say oil gas industry comprises 35 texas economy
politics war economy health etc ,0,facebook posts,poltifact,cnn report demdebate million viewer trump rally million last night
politics war economy health etc ,1,scott walker,poltifact,wisconsin put previous budget money mental health service governor last 25 year
politics war economy health etc ,0,wiley nickel,poltifact,75 north carolina support medical marijuana
politics war economy health etc ,0,paul broun,poltifact,say rep phil gingrey jack kingston even change vote vote multiple time
politics war economy health etc ,0,viral image,poltifact,60 new covid 19 patient people receive vaccine
politics war economy health etc ,0,facebook posts,poltifact,simpson predict canada trucker convoy protest
politics war economy health etc ,1,hillary clinton,poltifact,president obama take money wall street 2008 campaign anybody ever
politics war economy health etc ,0,tomorrow s vision of florida,poltifact,say ron saunders make choice stand rick scott expand school voucher restrict scholarship give tax break wealthy
politics war economy health etc ,0,orrin hatch,poltifact,count illegal alien people qualify insurance people make 75 000 year leaf 15 million people uninsured
indian news,1,the hindu,the hindu,government look monetise treat sewage dirty water remove ganga approximately 12 000 million litre per day sewage generate ganga basin
politics war economy health etc ,0,pete buttigieg,poltifact,black person four time likely white person incarcerate exact crime
climate news,1,bbc,bbc,emission fall england delegate discus climate change cop26 look co2 emission change across england
indian news,1,the hindu,the hindu,body three person include two sccl official recover debris sad end 36 hour long rescue mission roof collapse underground mine
indian news,1,the hindu,the hindu,take back three farm related law state bengaluru
politics war economy health etc ,0,jon erpenbach,poltifact,say scott walker say touch state civil service system support overhaul
politics war economy health etc ,1,hillary clinton,poltifact,charleston shooter never give gun universal background check fast enough
politics war economy health etc ,0,hillary clinton,poltifact,regard state department email practice predecessor thing
politics war economy health etc ,1,jamie radtke,poltifact,george allen vote 40 000 earmark
asian news,1,bbc,bbc,christian fear attack jail conversion christian karnataka state say attack grown ahead new anti conversion law
indian news,1,the hindu,the hindu,biren singh sworn chief minister manipur five cabinet minister also sworn alone
politics war economy health etc ,0,instagram posts,poltifact,report vaccine related death may rival record covid 19 death
indian fake news,0,times of india,times of india,fake alert audio clip coronavirus wrongly attribute dr devi shetty
ukraine russia war,1,bbc,bbc,scot rescue pair tell russian gunpoint ordeal men help evacuate ukrainian refugee across border poland
politics war economy health etc ,0,barack obama,poltifact,foreign intelligence surveillance court transparent
indian fake news,0,times of india,times of india,fake alert 2018 video evms bus share recent claim bjp rig election
politics war economy health etc ,0,michael williams,poltifact,many firearm expert determine la vega shooter use bump stock actually prevent casualty injury due inconsistency inaccuracy lack control
indian news,1,the hindu,the hindu,rpf personnel save 114 life past two month rescue child trafficker help pregnant woman deliver train among feat
indian news,1,the hindu,the hindu,andhra pradesh house house survey take check health condition villager west godavari doctor paramedical staff monitoring situation round clock suspect hooch death
indian news,1,the hindu,the hindu,man revive ancient tamil literature swaminatha iyer help tamil gain recognition ravi
asian news,1,bbc,bbc,four pay 31k lorry death victim family confiscation order relates money make involve smuggle operation
politics war economy health etc ,0,jon erpenbach,poltifact,push high speed internet rural area start democratic thing
indian news,1,the hindu,the hindu,budget reflect preparedness early assembly election ap say somu veerraju demand state government submit debt status cag
indian fake news,0,times of india,times of india,fake alert porn video still image share claim shaheen bagh
politics war economy health etc ,1,national republican congressional committee,poltifact,say nearly 75 percent american supportive construction pipeline schrader need explain oregon family vote need project
politics war economy health etc ,1,bloggers,poltifact,say sean hannity say 2008 obama willingness meet north korea disturb trump willingness meet north korea huge foreign policy win
politics war economy health etc ,0,instagram posts,poltifact,say vice president kamala harris call unvaccinated dirty trump people
politics war economy health etc ,0,facebook posts,poltifact,kamala harris refuse sworn use bible
politics war economy health etc ,0,rick perry,poltifact,spend half trillion dollar year tax preparation
politics war economy health etc ,1,hillary clinton,poltifact,bail johnson control save auto industry want avoid pay tax
politics war economy health etc ,0,bloggers,poltifact,say keanu reef say trump symbol successful man role model every young american something nation look year think america leader like
politics war economy health etc ,0,hillary clinton,poltifact,let say think bernie sander single negative ad ever run
ukraine russia war,1,bbc,bbc,city former toy u open ukraine aid close toy shop southampton open store donation ukraine
indian fake news,0,times of india,times of india,fake alert tajinder bagga wear shirt call pm modi thief
politics war economy health etc ,0,viral image,poltifact,video show palestinian fake funeral procession child
politics war economy health etc ,1,jane o meara sanders,poltifact,berniesanders receives strong support conservative rural part vermont
politics war economy health etc ,0,ohio democratic party,poltifact,rob portman share radical ideological view toward woman
politics war economy health etc ,0,ted cruz,poltifact,say democrat told catholic church use federal power shut church charity hospital church change belief
politics war economy health etc ,1,michelle obama,poltifact,state still legal deny woman coverage victim domestic violence
politics war economy health etc ,0,donald trump,poltifact,actually wisconsin
politics war economy health etc ,0,charlie crist,poltifact,new jersey maryland produce solar power florida sunshine state
politics war economy health etc ,1,tom barrett,poltifact,eleven year ago city detroit lift residency requirement police officer today 53 percent officer live outside city want tax base milwaukee resemble tax base detroit way go
covid19 news,1,bbc,bbc,lack hospital bed raise covid risk doctor doctor say inevitable covid patient come contact others amid shortage
politics war economy health etc ,0,jon erpenbach,poltifact,come urgency passing budget repair bill rush thing fiscal year end june 30 2011
politics war economy health etc ,0,facebook posts,poltifact,say image show satellite view fire australia
politics war economy health etc ,1,carlos guillermo smith,poltifact,say florida bill hb 697 punish sanctuary city becomes law law kind nation
politics war economy health etc ,0,jon kyl,poltifact,senate version economic stimulus package include million dollar world war ii filipino veteran philippine
politics war economy health etc ,1,nate mcmurray,poltifact,congressional candidate chris jacob vote paid leave covid 19
politics war economy health etc ,0,viral image,poltifact,say sean connery write letter steve job refuse apple spokesman
indian fake news,0,times of india,times of india,fake alert old photo pm modi gujarat viral meeting pakistani hindu refugee rajasthan
politics war economy health etc ,1,charles schumer,poltifact,american people overwhelmingly u call witness senate trial
covid19 news,1,bbc,bbc,rule distance mask relaxed ease restriction come omicron variant wave continue decline scotland
politics war economy health etc ,0,ed gillespie,poltifact,mark warner record one act keystone xl pipeline
technology news,1,bbc,bbc,game convention e3 cancel due covid e3 held la june organiser yet say held online instead
covid19 news,1,bbc,bbc,see daughter much pain kill
indian news,1,the hindu,the hindu,hc grant regular bail subbiah shanmugam chennai
politics war economy health etc ,0,kendrick meek,poltifact,middle class family throughout america would pay 000 per year pay tax cut wealthy
politics war economy health etc ,0,jeff kottkamp,poltifact,month ago fbi arrest three broward county commissioner accept million dollar trade illegal favor
technology news,1,bbc,bbc,un defines holocaust denial new resolution country social medium company urge help fight anti semitism
indian news,1,the hindu,the hindu,digital awareness class held wife slain itbp personnel new delhi
politics war economy health etc ,0,donald trump,poltifact,say second debate hillary clinton landslide every poll
politics war economy health etc ,0,dan bongino,poltifact,top ten unhealthy city san francisco seattle portland oregon san diego honolulu washington austin texas irving texas portland maine denver
politics war economy health etc ,1,bill o reilly,poltifact,50 percent immigrant el salvador guatemala honduras use least one major welfare program get
politics war economy health etc ,1,barack obama,poltifact,year best private sector job growth since 1999
politics war economy health etc ,0,bloggers,poltifact,say 89 member congress hold dual citizenship israel
politics war economy health etc ,1,barack obama,poltifact,job lose lose economic policy put place effect
business news,1,bbc,bbc,gift card launch inspire shopper use town
politics war economy health etc ,1,jennifer granholm,poltifact,cut percentage government state country past decade michigan term economic growth cut result economic growth
politics war economy health etc ,1,barack obama,poltifact,folk wage go decade
politics war economy health etc ,0,ron klein,poltifact,west raise million would leave beach ruin end social security medicare give corporation free reign
politics war economy health etc ,1,ron johnson,poltifact,gop obamacare replacement would reduce subsidy help low income people buy health insurance also expand entitlement give subsidy high income people obamacare never help
politics war economy health etc ,0,bill pascrell,poltifact,many 22 000 american die year health insurance
politics war economy health etc ,1,robert menendez,poltifact,say united state actually export gasoline diesel fuel import 2011 first time since think 1949
politics war economy health etc ,1,barack obama,poltifact,say mitt romney million cayman island tax
politics war economy health etc ,0,chris christie,poltifact,say attempt try compare massachusetts health care law federal health care law completely intellectually dishonest governor romney raise one tax
climate news,1,bbc,bbc,woman often bad hit climate change climate change affect every person planet study found affect woman
politics war economy health etc ,0,rand paul,poltifact,say hillary clinton ask repeatedly provide security benghazi several occasion include direct cable
politics war economy health etc ,1,elizabeth warren,poltifact,everyone stage except amy klobuchar either billionaire receive help pac unlimited spending
politics war economy health etc ,0,better austin today,poltifact,say city council member randi shade austin high city debt per person texas
indian news,1,the hindu,the hindu,youth congress office bearer announce chennai
covid19 news,1,bbc,bbc,spring booster offer england monday five million elderly vulnerable people eligible first invite sent week
politics war economy health etc ,0,bloggers,poltifact,pelosi secret overseas mission include 93 family member
politics war economy health etc ,0,facebook posts,poltifact,bill gate george soros want secretly stick chip test coronavirus dems bill house floor ready vote require
politics war economy health etc ,1,darrell steinberg,poltifact,90 000 californian unsheltered homeless
indian news,1,the hindu,the hindu,40 youngster donate blood vizianagaram vizianagaram
politics war economy health etc ,1,rick scott,poltifact,florida rank first nation access free prekindergarten
politics war economy health etc ,0,barack obama,poltifact,mailer obama campaign accurately indicates hillary clinton would force uninsured people buy insurance even afford
covid19 news,1,bbc,bbc,peak rail service return pre covid level leisure travel rather commute focus 150 new service scotrail timetable
politics war economy health etc ,0,farouk shami,poltifact,say brought 200 job texas move factory china
ukraine russia war,1,bbc,bbc,ten thousand wale offer home refugee welsh secretary simon hart say response government scheme remarkable
politics war economy health etc ,0,john boehner,poltifact,american people spoke pretty loudly say stop loom tax hike
politics war economy health etc ,1,jefferson smith,poltifact,test last month max station 162nd avenue east burnside saw crime 41 percent compare december 2009
climate news,1,bbc,bbc,really simple guide climate change world temperature rise human activity climate change threatens every aspect human life
indian news,1,the hindu,the hindu,case horatti bommai assures action bengaluru
technology news,1,bbc,bbc,wood base alternative plastic container
politics war economy health etc ,0,viral image,poltifact,say kkk march mebane trump victory
politics war economy health etc ,0,donald trump,poltifact,2000 write osama bin laden get take
politics war economy health etc ,0,tim kaine,poltifact,virginia ranked near bottom nation 50 year ago per caput income top 10 today low rate high education attainment national average
politics war economy health etc ,0,viral image,poltifact,say bernie sander want make cut date abortion 36 week say baby point feel pain right life
technology news,1,bbc,bbc,solar power fridge get people jabbed fridge design area electricity help dispense covid vaccine kenya
technology news,1,bbc,bbc,inquiry two cyber attack council decade could take month fix issue council online revenue benefit service
asian news,1,bbc,bbc,ukraine invasion push japan go nuclear ex pm shinzo abe shock japan say think nuclear weapon alone
politics war economy health etc ,0,viral image,poltifact,photo show clearly intoxicate kamala harris throw bush stagger aimlessly cleveland airport
politics war economy health etc ,0,aaron rodgers,poltifact,cdc say 75 covid 19 death involve people least four comorbidities
politics war economy health etc ,0,facebook posts,poltifact,arizona audit show 86 391 voter appear exist
politics war economy health etc ,0,mike pence,poltifact,say since president trump take office policy lead unemployment rate wisconsin 61 000 wisconsin job include 15 000 manufacturing job
politics war economy health etc ,0,facebook posts,poltifact,people go door door colorado spring state covid test rob people
politics war economy health etc ,1,rick santorum,poltifact,40 percent child born america born wedlock
politics war economy health etc ,0,chain email,poltifact,obama administration want soldier officer pledge loyalty oath directly office president longer constitution
politics war economy health etc ,0,barack obama,poltifact,medicare good well keep people healthy medicare advantage
politics war economy health etc ,0,rick scott,poltifact,citizen property insurance 500 billion worth risk less 10 billion worth surplus
asian news,1,bbc,bbc,sri lanka easter bomb suspect face 23 000 charge list charge witness could mean trial take 10 year lawyer warn
business news,1,bbc,bbc,russia double interest rate rouble slump bbc news
politics war economy health etc ,0,foramerica,poltifact,say houston national cemetery prevent christian prayer say military funeral
indian news,1,the hindu,the hindu,remove karuvelam tree along waterbodies minister meeting explores possibility new sand quarry
indian fake news,0,times of india,times of india,fact check rajnath singh visit madrassa secure vote
politics war economy health etc ,1,democratic senatorial campaign committee,poltifact,kelly ayotte vote give big oil 20 billion tax break
politics war economy health etc ,0,house republican conference,poltifact,medicare official treat humana aarp inconsistently communicate senior
covid19 news,1,bbc,bbc,tory mp call boris johnson resign peter aldous say submit letter could help trigger leadership contest
indian news,1,the hindu,the hindu,kg cannabis seize wayanad two arrest kalpetta
politics war economy health etc ,1,mike pence,poltifact,say donald trump county candidate side since ronald reagan
politics war economy health etc ,0,pink pony,poltifact,city brookhaven ordinance could cause pink pony close thereby put 300 pink pony employee work economy
indian news,1,the hindu,the hindu,rail agitation extends nattassery protester block truck carry survey stone police refuse intervene
politics war economy health etc ,1,robert gates,poltifact,foreign policy joe biden aid vietnam say fall shah step forward human right iran oppose reagan defense build vote first gulf war
politics war economy health etc ,0,barack obama,poltifact,family pay 900 average high premium uncompensated care
indian fake news,0,times of india,times of india,fact check ankit sharma brother denies say brother kill chant jai shri ram
politics war economy health etc ,0,todd young,poltifact,nearly 70 percent federal spending go towards social security medicare medicaid fiscal year 2014
politics war economy health etc ,0,laura ingraham,poltifact,say eric cantor co author house gop principle immigration reform new york time washington post say capture essence senate immigration bill
technology news,1,bbc,bbc,irish health cyber attack could bad report found attack healthcare system far great impact initially expect
politics war economy health etc ,0,bob gibbs,poltifact,cap trade legislation zack space support would cost average household approximately 761 per year increase energy rate
politics war economy health etc ,0,cory gardner,poltifact,since 1888 senate different party president white house confirm supreme court nominee
politics war economy health etc ,0,mark born,poltifact,private insurance give well coverage people would get medicaid expansion
politics war economy health etc ,1,barack obama,poltifact,fifty percent speaker gingrich tax plan go top percent
indian news,1,the hindu,the hindu,jebi mather file r nomination thiruvananthapuram
politics war economy health etc ,1,oregon education association,poltifact,house bill 2301 never public hearing
indian news,1,the hindu,the hindu,iffk audience poll begin tomorrow thiruvananthapuram
politics war economy health etc ,0,jeb bush,poltifact,say canada one tenth population yet issue far high skilled visa 150 000 yearly 65 000
politics war economy health etc ,0,usa daily portal,poltifact,julia robert claim michelle obama fit clean melania toilet
politics war economy health etc ,0,mark tapscott,poltifact,obama stimulus pass first month office cost entire iraq war
business news,1,bbc,bbc,starter salary rise fast rate 24 year
politics war economy health etc ,0,tweets,poltifact,near morgantown wv moderna shipment truck crashed hazmat dispatch airspace shut apparently emergency response claim department defense take
politics war economy health etc ,0,john mccain,poltifact,1992 barack obama direct project vote arm acorn also encourage voter registration
indian news,1,the hindu,the hindu,fresh covid 19 infection fall 100 state nearly year 95 fresh infection identify across tamil nadu life lose past 24 hour
politics war economy health etc ,0,jody hice,poltifact,democrat spent year refuse acknowledge trump 2016 victory
politics war economy health etc ,1,chris christie,poltifact,get teacher union pay 85 percent 731 union get pay every year also require statute call representation fee
technology news,1,bbc,bbc,tech could spot building work go wrong
politics war economy health etc ,1,barack obama,poltifact,see whole bunch korean car united state see american car korea
politics war economy health etc ,0,dave brat,poltifact,number daca 800 000 every one person bring entire extend family reach certain status million right
politics war economy health etc ,0,jeb bush,poltifact,one person fire veteran administration withholding service
ukraine russia war,1,bbc,bbc,african leader talk putin ukraine crisis
politics war economy health etc ,0,facebook posts,poltifact,say image show photo hurricane ravage abaco island bahamas
politics war economy health etc ,0,paul broun,poltifact,late unemployment number show nearly 315 000 american simply give hope come find job
climate news,1,bbc,bbc,north america heatwaves
technology news,1,bbc,bbc,cancer patient us insta offload thought richard walker diagnose brain tumour day turn 51
politics war economy health etc ,0,charlie crist,poltifact,florida slash government 10 percent billion
politics war economy health etc ,0,dan gelber,poltifact,pam bondi told group lobbyist side corporate special interest attorney general
climate news,1,bbc,bbc,australia declares la ni phenomenon begin climate pattern lead significant weather change different part world
politics war economy health etc ,1,newt gingrich,poltifact,percent muslim pakistan view isi favorably unfortunately percent 16 million people one country
politics war economy health etc ,0,donald trump,poltifact,say georgia secretary state let people recount ballot check signature fraud
politics war economy health etc ,0,gilberto hinojosa,poltifact,platform republican party say deport everybody hell
politics war economy health etc ,0,brad parscale,poltifact,see president trump record turnout iowa 32 389 republican
politics war economy health etc ,0,brent barton,poltifact,say credit rating agency realize instability stem large part oregon kicker system
politics war economy health etc ,1,marco rubio,poltifact,say donald trump support charlie crist
covid19 news,1,bbc,bbc,one covid related death 908 case total number death link virus report stormont department health 208
politics war economy health etc ,1,rick perry,poltifact,say texas high school graduation rate time high third high nation represent significant turnaround short year ago
technology news,1,bbc,bbc,facebook financial interest create safe environment
politics war economy health etc ,0,senate majority pac,poltifact,new hampshire lose job china state
politics war economy health etc ,0,donald trump,poltifact,one american flag massive stage democratic national convention people start complain small one pathetic
politics war economy health etc ,0,facebook posts,poltifact,quote president jimmy carter say want tax dollar help poor stop say want country base christian value
indian news,1,the hindu,the hindu,advisor farooq khan resigns likely join politics move come ahead likely announcement assembly poll later year
politics war economy health etc ,0,kurt schrader,poltifact,say tax revenue low since world war ii
world news,1,nbc news,nbc news,israel emerges unexpected russia ukraine mediator israel afford see stand democracy fight freedom former ambassador washington say
politics war economy health etc ,0,bloggers,poltifact,muslim offend kid recite national anthem
indian news,1,the hindu,the hindu,pratt whitney open capability centre bengaluru aircraft engine maker say hyderabad continue focus city
indian news,1,the hindu,the hindu,kcr free enhance quota say laxman cm instead drag centre shift blame
politics war economy health etc ,0,facebook posts,poltifact,say ben shapiro say twitter red pill moment share cupcake poor kid
politics war economy health etc ,0,donald trump,poltifact,new york city murder
ukraine russia war,1,bbc,bbc,raw recruit swap spreadsheet sniper rifle prepare defend kyiv ukraine new recruit must learn new way life fight
politics war economy health etc ,0,national republican congressional committee,poltifact,rep carol shea porter vote nancy pelosi democrat 95 percent time frank guinta take party independent new hampshire value
politics war economy health etc ,0,ron paul,poltifact,today gasoline hit gallon florida
covid19 news,1,bbc,bbc,first minister question happen march mark drakeford face question ms allow attend first time since march 2020
politics war economy health etc ,0,charlie crist,poltifact,new jersey maryland produce solar power florida sunshine state
asian news,1,bbc,bbc,debt laden evergrande suspends share hong kong move come indebted property developer struggle raise cash meet obligation
indian news,1,the hindu,the hindu,voting rajya sabha seat himachal march 31 term sit mp anand sharma end april
politics war economy health etc ,0,charles van zant,poltifact,abortionist reduce black population 25 percent since 1973
politics war economy health etc ,0,ron johnson,poltifact,prior obamacare wisconsin 95 percent wisconsinite cover insurance obamacare 95 percent wisconsinite cover insurance impact
asian news,1,bbc,bbc,indonesia name new capital nusantara lawmaker approve proposal relocate capital jakarta sinking alarm rate
politics war economy health etc ,0,joe straus,poltifact,say state budget deal texas house senate leader fund nursing home public school university provide financial aid college student
politics war economy health etc ,0,joe biden,poltifact,iraq afghanistan 40 time
politics war economy health etc ,0,facebook posts,poltifact,russia unveiled nuclear weapon satan capable destroy everything breathing world
indian news,1,the hindu,the hindu,state learn lankan crisis balagopal food scarcity lanka outcome neglect agriculture
indian news,1,the hindu,the hindu,street vendor federation opposes denial permission non hindu temple fair bengaluru
politics war economy health etc ,0,ted cruz,poltifact,say democrat told catholic church use federal power shut church charity hospital church change belief
politics war economy health etc ,0,wayne rogers,poltifact,200 document case obama lie
politics war economy health etc ,0,facebook posts,poltifact,email hillary clinton donna brazile oct 17th 2016 state bastard win go hang noose well fix
politics war economy health etc ,1,ron johnson,poltifact,average college student take six year get four year degree
politics war economy health etc ,1,jackie dingfelder,poltifact,say 205 six mile run district already carry traffic
indian news,1,the hindu,the hindu,tnsec announces indirect election urban local body polling various post held march 30 31
indian fake news,0,times of india,times of india,fake alert brahmin chop girl tongue offer temple
business news,1,bbc,bbc,former tesco bos advise supply chain crisis
usa news,1,abc news,abc news,governor sign bill ban abortion week model texas law gov brad little question whether law would withstand legal challenge
indian news,1,the hindu,the hindu,five kill road accident kalaburagi
politics war economy health etc ,0,al hunt,poltifact,mosque cultural center prayer area
politics war economy health etc ,1,bill clinton,poltifact,obama spent 40 percent pac money 43 percent exact iowa new hampshire nevada south carolina politician
politics war economy health etc ,0,eric hovde,poltifact,since president barack obama take office 700 employee department transportation earn 170 000
economy,1,the wire,the wire,petrol diesel price hike 80 paisa litre fourth increase five day
politics war economy health etc ,0,instagram posts,poltifact,death vaccine total 621 johnson johnson 799 moderna 13 039 pfizer 73 unknown vaccine undercount death report
politics war economy health etc ,1,cenk uygur,poltifact,orrin hatch co sponsor 1993 health care bill individual mandate
climate news,1,bbc,bbc,farmer tomorrow see sustainable future run cop26 agricultural student think farm change year ahead
politics war economy health etc ,0,todd staples,poltifact,say epa regulation greenhouse gas endanger 575 texas dairy facility 58 swine operation 300 corn farm 28 000 beef cattle operation
technology news,1,bbc,bbc,boy 2m cryptocurrency seize police teenager set fake gift voucher website bought haul bitcoins soar value
indian news,1,the hindu,the hindu,new team press club hyderabad take charge hyderabad
politics war economy health etc ,0,donald trump,poltifact,obamacare enrollment lie obama count enrollee web user put plan online shopping cart
politics war economy health etc ,1,tony evers,poltifact,still handful school district person instruction
politics war economy health etc ,1,john mccain,poltifact,omnibus spending bill 427 pork barrel item
politics war economy health etc ,0,charlie crist,poltifact,cover florida thousand already enrol climb
indian news,1,the hindu,the hindu,fisherman urge govt restore fishing right water body right allow outsider take part auction tank say
business news,1,bbc,bbc,uk company perform well overseas owner business editor
politics war economy health etc ,0,wayne lapierre,poltifact,say new york mayor michael bloomberg say three bullet nra want firearm nuke
politics war economy health etc ,0,maria bartiromo,poltifact,washington post force correct donald trump told secretary state georgia
asian news,1,bbc,bbc,ukraine invasion push japan go nuclear ex pm shinzo abe shock japan say think nuclear weapon alone
politics war economy health etc ,0,tommy thompson,poltifact,say opponent tammy baldwin one positive ad campaign senate
politics war economy health etc ,0,rick perry,poltifact,five citizen kill last week border security problem
ukraine russia war,1,bbc,bbc,woke warm hug realise war many ukrainian determine keep work conflict
entertainment news,1,abc news,abc news,rick astley celebrates 1987 debut album reissue pop star take time hit big time put album one stick
politics war economy health etc ,0,truth in accounting,poltifact,georgia taxpayer would send 000 treasury cover state debt
politics war economy health etc ,0,steve adler,poltifact,austin site first mass shoot country
politics war economy health etc ,0,debbie wasserman schultz,poltifact,lose 750 000 job month administration economy barack obama 20 straight month growth add million job private sector add million job manufacturing
politics war economy health etc ,1,scott walker,poltifact,state saw job creation last three year since governor saw whole eight year doyle time governor
covid19 news,1,bbc,bbc,ni public role play protect others
indian news,1,the hindu,the hindu,day night protest plan avikkal thodu stp project people collective stage stir march 28 29
politics war economy health etc ,1,ted cruz,poltifact,oppose tpp trans pacific partnership always oppose tpp
politics war economy health etc ,0,facebook posts,poltifact,trump farmer bailout twice size obama gm bailout big difference gm paid bailout back interest
business news,1,bbc,bbc,barista training open door refugee
indian news,1,the hindu,the hindu,nhrc issue notice bengal govt police birbhum incident take take suo motu cognisance medium report people include child burnt death
politics war economy health etc ,1,karina wood,poltifact,cigarette butt poison baby small child nicotine
politics war economy health etc ,1,seth magaziner,poltifact,rhode island today 25 percent household either bank account bank account still rely high cost financial service like payday loan pawn shop check cash
politics war economy health etc ,0,glenn beck,poltifact,thomas jefferson create marine islamic pirate happen
indian news,1,the hindu,the hindu,former ia officer madan gopal rainbow year release march 23 set turbulent telangana region rainbow year chronicle personal political fortune three young idealist member
business news,1,bbc,bbc,pre departure covid travel test scrap
politics war economy health etc ,0,one wisconsin now,poltifact,wisconsin billion incentive offer foxconn large gift ever state foreign company
indian news,1,the hindu,the hindu,panchayat official arrest bribery charge vigilance official arrest panchayat official allegedly collect bribe person apply license renewal
politics war economy health etc ,0,john carter,poltifact,say new health care law delivers 13 billion tax increase family special need
politics war economy health etc ,0,tweets,poltifact,say joe biden barack obama directly participate plot sealteam6 murder arrange massive cash deal part cover
politics war economy health etc ,0,teresa tanzi,poltifact,idea contain electronic cigarette vapor
politics war economy health etc ,0,glenn beck,poltifact,many 11 conspirator come muslim brotherhood include osama bin laden ayman zawahiri khalid sheikh mohammed
politics war economy health etc ,0,viral image,poltifact,video show russian war ukraine
politics war economy health etc ,0,harry reid,poltifact,solve problem scientist say leave nuclear waste
politics war economy health etc ,0,bloggers,poltifact,say obama paid fbi informant million trump
politics war economy health etc ,1,mike romano,poltifact,2017 west virginia 43 469 median household income 16 867 national average rank 50th
politics war economy health etc ,1,greg morris,poltifact,buy lobster food stamp
politics war economy health etc ,0,mitch mcconnell,poltifact,say new report show devastate tax hike health care law middle class kentuckian
politics war economy health etc ,0,facebook posts,poltifact,voting bill pass absentee ballot would mail anyone without proof voter identity
politics war economy health etc ,0,alison lundergan grimes,poltifact,say mitch mcconnell vote raise medicare cost current kentucky senior 000
asian news,1,bbc,bbc,omicron v zero covid long china hold china bad outbreak two year get question long hang strategy
indian news,1,the hindu,the hindu,last batch people karnataka strand ukraine return home total number people karnataka return ukraine 633
politics war economy health etc ,0,tweets,poltifact,dow joans ever fall 1000 point single day sit president load big cannon shot sun tremendous speed excuse
covid19 news,1,bbc,bbc,self isolation continue law lift people may think scrap rule end medical requirement health expert warns
politics war economy health etc ,1,donald trump,poltifact,2015 homicide increase 17 percent america 50 large city large increase 25 year
politics war economy health etc ,0,viral image,poltifact,kim martin morrow ceo netflix charge 15 charge child pornography
politics war economy health etc ,0,mary taylor,poltifact,say even child obamacare would still carry insurance cover pediatric maternity newborn care even though need
politics war economy health etc ,0,tiktok posts,poltifact,derek chauvin attorney say space alien inhabit body derek chauvin cause death
politics war economy health etc ,0,house republican conference,poltifact,medicare official treat humana aarp inconsistently communicate senior
indian news,1,the hindu,the hindu,two day job mela begin mysuru mysuru
politics war economy health etc ,0,joe biden,poltifact,identifiable somali community back home delaware
politics war economy health etc ,0,mary taylor,poltifact,ohioan expect pay 41 percent insurance premium obamacare take effect next year
indian news,1,the hindu,the hindu,top kerala news development today key news development kerala monday march 14 2022
business news,1,bbc,bbc,uk farm policy contradictory say nfu head
technology news,1,bbc,bbc,israeli inquiry find sign unlawful hack probe investigate report police use pegasus spyware target people without warrant
politics war economy health etc ,0,donald trump,poltifact,many people outside protest speech phoenix convention center
